,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
0,高级Javascript工程师&nbsp;,北京四方人科技有限责任公司,10k-20k,北京,少于15人,3-5年,大专,"教育,游戏",2018-03-06
1,JS开发工程师,深圳市华科智能有限公司,8k-16k,武汉,50-150人,1-3年,大专,"硬件,数据服务",2018-03-02
2,cocos-js开发工程师,武汉百大新征科技有限公司,4k-8k,武汉,15-50人,不限,不限,"社交网络,游戏",2018-02-28
3,js讲师,北京八维研修学院,15k-25k,北京,2000人以上,5-10年,不限,教育,2018-03-13
4,Node js研发工程师,北京创新伙伴教育科技有限公司,18k-36k,杭州,500-2000人,1-3年,本科,"移动互联网,教育",2018-03-13
5,cocos2d-js开发工程师,武汉勇士科技有限公司,8K-12K,武汉,少于15人,3-5年,本科,"游戏,移动互联网",2018-03-07
6,JavaScript高级工程师,云势天下（北京）软件有限公司,25k-50k,北京,50-150人,5-10年,本科,企业服务,2018-03-07
7,JAVASCRIPT高级开发顾问,北京龙创腾达科技有限公司,15k-18k,北京,15-50人,5-10年,本科,"企业服务,移动互联网",2018-03-13
8,Javascript开发经理,北京快乐格子信息技术有限公司,20k-40k,北京,50-150人,5-10年,本科,"移动互联网,企业服务",2018-03-13
9,JavaScript与H5流媒体研发工程师,Pear Limited,12k-24k,深圳,15-50人,不限,不限,"企业服务,硬件",2018-03-12
10,Cocos2d-js高级游戏开发工程师,阿哈王国（武汉）教育科技有限公司,10k-20k,武汉,少于15人,1-3年,本科,"移动互联网,教育",2018-03-13
11,应用框架JavaScript开发,阿里巴巴YunOS事业部,20k-40k,北京,2000人以上,5-10年,本科,移动互联网,2018-03-13
12,高级前端开发工程师/高级Javascript工程师,上海捷酷信息技术有限公司,15k-30k,上海,15-50人,3-5年,本科,"移动互联网,数据服务",2018-03-13
13,JavaScript开发工程师,深圳大数点科技有限公司,8k-12k,深圳,15-50人,1-3年,本科,移动互联网,2018-03-12
14,"小游戏研发Cocos,Create,JS",长沙睿哲软件有限公司,5k-10k,长沙,15-50人,1-3年,大专,"移动互联网,游戏",2018-02-23
0,js讲师,北京八维研修学院,10k-15k,北京,2000人以上,1-3年,大专,教育,2018-03-13
1,JavaScript高级工程师,北京铂金智慧网络科技有限公司,20k-35k,北京,150-500人,5-10年,本科,"移动互联网,数据服务",2018-02-27
2,node-js游戏开发工程师,上海游族信息技术有限公司,20k-25k,上海,500-2000人,1-3年,不限,"移动互联网,游戏",2018-03-12
3,JS/CSS，JavaScript全栈,上海星轨网络科技有限公司,4k-8k,上海,少于15人,1年以下,大专,"游戏,移动互联网",2018-03-09
4,JS工程师,科加诺智能系统（上海）有限公司,7K-13K,上海,15-50人,1-3年,大专,移动互联网 数据服务,2018-03-08
5,JavaScript开发工程师,深圳英飞拓科技股份有限公司,8k-15k,深圳,500-2000人,3-5年,本科,硬件,2018-03-06
6,高级js工程师,小能科技（北京）有限公司,10k-20k,北京,150-500人,3-5年,本科,移动互联网,2018-03-05
7,Node. js 开发工程师,苏州乐游网络科技有限公司,12k-18k,杭州,15-50人,1-3年,本科,"游戏,社交网络",2018-02-25
8,JS/Web前端开发工程师,成都康乔电子有限责任公司,5k-10k,成都,50-150人,1-3年,大专,"硬件,信息安全",2018-03-12
9,MIG09-浏览器内核开发高级工程师-JS引擎方向,腾讯科技(深圳)有限公司,18k-36k,深圳,2000人以上,5-10年,本科,"移动互联网 ,游戏",2018-03-09
10,java/javascript工程师,上海亚创博彦信息技术有限公司,13k-17k,杭州,500-2000人,1-3年,本科,企业服务,2018-03-12
11,JavaScript软件开发,上海廉凌网络科技有限公司,6k-12k,上海,少于15人,3-5年,大专,"移动互联网,数据服务",2018-03-05
12,cocos2d-js开发工程师,上海星变网络科技有限公司,15k-30k,上海,15-50人,1-3年,本科,教育,2018-03-07
13,JS工程师,云雀科技成都有限责任公司,7k-10k,成都,少于15人,3-5年,本科,"企业服务,医疗健康",2018-02-22
