,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
5,Go/Golang开发工程师,北京嘉简科技有限公司,7K-10K,济南,15-50人,1-3年,本科,"移动互联网,企业服务",2018-03-13
6,Go工程师,深图（厦门）科技有限公司,7k-12k,厦门,15-50人,不限,本科,"移动互联网,数据服务",2018-02-27
7,Go语言开发工程师,深圳虾皮信息科技有限公司,15k-30k,深圳,2000人以上,1-3年,本科,电子商务,2018-03-13
8,Go开发工程师,北京爱奇艺科技有限公司,25k-45k,北京,2000人以上,5-10年,本科,"广告营销,文化娱乐",2018-02-28
9,GO开发工程师,玖富金科控股集团有限责任公司,25k-50k,北京,2000人以上,1-3年,本科,金融,2018-03-13
10,go语言,北京微事博软件有限公司,20k-30k,北京,15-50人,3-5年,本科,"企业服务,数据服务",2018-03-13
11,存储应用开发工程师-Java/GO/Python,星辰天合（北京）数据科技有限公司,18k-35k,北京,150-500人,3-5年,本科,企业服务,2018-03-13
12,Go/C++ 后端开发工程师,深圳牛日科技有限公司,14k-28k,深圳,15-50人,3-5年,本科,"移动互联网,电子商务",2018-03-13
13,云平台开发Python、Go,车好多旧机动车经纪(北京)有限公司,20k-40k,北京,2000人以上,3-5年,本科,O2O,2018-03-12
14,Golang工程师,乐惠（北京）科技有限公司,15k-30k,北京,150-500人,3-5年,本科,"移动互联网,电子商务",2018-03-13
0,Golang开发,北京商询科技有限公司,15k-25k,北京,50-150人,3-5年,本科,"企业服务,数据服务",2018-03-13
1,golang工程师,北京微事博软件有限公司,20k-30k,北京,15-50人,3-5年,本科,"企业服务,数据服务",2018-03-13
2,golang研发工程师,上海道客网络科技有限公司,20k-40k,上海,150-500人,3-5年,本科,"企业服务,数据服务",2018-03-13
3,Golang/Java后台开发工程师（深圳,腾讯科技(深圳)有限公司,15k-30k,深圳,2000人以上,3-5年,本科,"移动互联网 ,游戏",2018-02-27
4,Golang开发工程师,北京鼓掌移动科技有限公司,15k-30k,北京,15-50人,1-3年,本科,"移动互联网,金融",2018-03-13
5,Go语言工程师,北京爱奇艺科技有限公司,20k-30k,北京,2000人以上,3-5年,本科,"广告营销,文化娱乐",2018-03-09
6,Go,北京嘀嘀无限科技发展有限公司,25k-50k,北京,2000人以上,3-5年,本科,移动互联网,2018-03-07
7,Go高级工程师,北京作业盒子科技有限公司,18k-36k,北京,500-2000人,3-5年,本科,"移动互联网,教育",2018-03-12
8,Golang 开发工程师,北京思维造物信息科技有限公司,20k-40k,北京,150-500人,3-5年,本科,"移动互联网,文化娱乐",2018-03-12
9,golang开发工程师,广州舜飞信息科技有限公司,10k-20k,广州,150-500人,1-3年,大专,移动互联网,2018-03-13
10,服务器开发工程师（nodejs/java/python/go,竞技世界（北京）网络技术有限公司,15K-30K,北京,500-2000人,3-5年,本科,"移动互联网,游戏",2018-03-13
11,golang开发工程师,北京奇安信科技有限公司,15k-30k,北京,2000人以上,1-3年,本科,"电子商务,企业服务",2018-03-13
12,golang 开发工程师,杭州溜达网络科技有限公司,10k-20k,杭州,15-50人,5-10年,本科,移动互联网,2018-03-13
13,Golang,杭州云象网络技术有限公司,20k-40k,杭州,50-150人,1-3年,本科,"移动互联网,数据服务",2018-03-13
14,高级Golang工程师,深圳市明源云客电子商务有限公司,18k-30k,深圳,2000人以上,3-5年,本科,"移动互联网,企业服务",2018-03-13
0,高级Golang开发工程师,北京三快在线科技有限公司,30k-45k,北京,2000人以上,3-5年,本科,"移动互联网,O2O",2018-03-13
1,go 软件工程师,西安纸贵互联网科技有限公司,8k-15k,西安,50-150人,3-5年,本科,"文化娱乐,企业服务",2018-03-13
2,Go开发工程师,信达悦和资产管理（北京）有限公司,8k-15k,北京,50-150人,1-3年,本科,金融、移动互联网,2018-03-12
3,Golang开发工程师,杭州深知科技有限公司,15k-30k,杭州,15-50人,不限,不限,数据服务,2018-03-12
4,Go语言开发工程师,北京爱奇艺科技有限公司,15k-30k,上海,2000人以上,3-5年,本科,"广告营销,文化娱乐",2018-03-13
5,高级golang开发工程师,武汉斗鱼网络科技有限公司,13k-22k,武汉,2000人以上,3-5年,本科,移动互联网,2018-03-12
6,Golang工程师,北京云汇天下科技有限公司,15K-25K,北京,50-150人,1-3年,本科,"移动互联网,金融",2018-03-08
7,golang开发工程师,广州市讯码通讯科技有限公司,8k-13k,广州,150-500人,1-3年,大专,"移动互联网,生活服务",2018-03-13
8,Java/Go,迪斯泰克（北京）软件技术有限公司,20k-40k,北京,2000人以上,不限,本科,"企业服务,数据服务",2018-03-13
9,Golang开发工程师,厦门吾轶科技有限公司,10k-15k,厦门,15-50人,1-3年,大专,移动互联网,2018-03-13
10,Go 开发工程师,深圳市梦之舵信息技术有限公司,10k-20k,深圳,50-150人,1-3年,本科,社交网络,2018-03-12
11,Golang 开发工程师,北京田米科技有限公司,25k-50k,北京,50-150人,3-5年,本科,移动互联网,2018-03-12
12,GO开发工程师,广州经传多赢投资咨询有限公司,10k-20k,广州,2000人以上,不限,大专,"移动互联网,金融",2018-03-12
13,Go高级开发工程师,炫一下（北京）科技有限公司,25k-50k,上海,500-2000人,3-5年,本科,"移动互联网,文化娱乐",2018-03-13
14,GO开发工程师,深圳市即构科技有限公司,20k-40k,深圳,50-150人,1-3年,本科,"移动互联网,企业服务",2018-03-12
0,Golang高级研发工程师,北京三快在线科技有限公司,40k-55k,北京,2000人以上,3-5年,硕士,"移动互联网,O2O",2018-03-13
1,Golang开发工程师,北京豪腾嘉科科技有限公司,15k-30k,北京,50-150人,3-5年,本科,"移动互联网,游戏",2018-03-12
2,全栈工程师 或者 Golang 工程师,毕威拓科技（北京）有限公司,30k-60k,北京,500-2000人,3-5年,硕士,数据服务,2018-03-06
3,GO开发工程师,前海煦逸信息技术（深圳）有限公司,13k-20k,上海,500-2000人,1-3年,本科,"电子商务,生活服务",2018-03-12
4,Golang开发工程师,上海道客网络科技有限公司,10k-20k,上海,150-500人,1-3年,本科,"企业服务,数据服务",2018-03-13
5,Golang,心灵失重（北京）科技有限公司,15k-30k,深圳,50-150人,3-5年,本科,移动互联网,2018-03-12
6,Golang开发工程师,两鲜商贸（上海）有限公司,15k-25k,上海,150-500人,1-3年,本科,电子商务,2018-03-13
7,golang开发,杭州任你说智能科技有限公司,13K-26K,北京,15-50人,3-5年,本科,硬件,2018-03-12
8,golang工程师,成都捷云智慧科技有限公司,6k-12k,成都,15-50人,3-5年,本科,移动互联网,2018-03-13
9,golang 工程师,上海索乐钢绳有限公司,20k-30k,北京,15-50人,3-5年,本科,"移动互联网,硬件",2018-03-13
10,golang开发工程师,上海元聚网络科技有限公司,15k-25k,上海,150-500人,1-3年,不限,移动互联网,2018-03-13
11,GO开发工程师,北京一人一亩田网络科技有限公司,15k-30k,北京,150-500人,1-3年,本科,"移动互联网,电子商务",2018-03-13
12,go语言工程师,北京微事博软件有限公司,20k-30k,北京,15-50人,3-5年,本科,"企业服务,数据服务",2018-03-13
13,Go工程师,博瑞天下（北京)科技有限公司,25k-50k,北京,50-150人,1-3年,本科,"移动互联网,金融",2018-03-13
14,高级资深后端PHP/GO,车好多旧机动车经纪(北京)有限公司,25k-50k,北京,2000人以上,3-5年,本科,O2O,2018-03-05
0,golang开发,杭州任你说智能科技有限公司,15K-25K,北京,15-50人,1-3年,本科,硬件,2018-03-12
1,Golang工程师,杭州招财猫网络科技有限公司,9k-15k,杭州,150-500人,1-3年,大专,金融,2018-03-12
2,golang开发工程师,深圳市六度人和科技有限公司,15k-30k,深圳,150-500人,3-5年,本科,"移动互联网,企业服务",2018-03-13
3,golang,车好多旧机动车经纪(北京)有限公司,20k-40k,北京,2000人以上,3-5年,本科,O2O,2018-03-12
4,Go/Golang开发工程师,北京爱声声科技有限公司,20k-40k,北京,50-150人,3-5年,本科,移动互联网,2018-03-13
5,GO语言开发工程师,中化石油有限公司,20k-40k,北京,2000人以上,3-5年,本科,"移动互联网,电子商务",2018-03-13
6,搜狗输入法-Golang高级开发,北京搜狗科技发展有限公司,20k-40k,北京,2000人以上,3-5年,本科,"移动互联网,数据服务",2018-03-13
7,Go开发工程师,北京币贝科技有限公司,15k-30k,北京,50-150人,1-3年,本科,"移动互联网,金融",2018-03-12
