,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
12,Python后端架构师,北京世纪好未来教育科技有限公司,35k-70k,北京,2000人以上,5-10年,本科,"移动互联网,教育",2018-03-12
13,Python后端研发工程师,广州骏睿信息科技有限公司,6k-10k,广州,少于15人,不限,本科,移动互联网,2018-03-12
14,Python开发工程师,飞榴（上海）信息科技有限公司,10k-20k,上海,15-50人,1-3年,本科,"移动互联网,数据服务",2018-03-07
0,python程序员,杭州派对家数字科技有限公司,3K-6K,杭州,15-50人,不限,本科,"移动互联网,文化娱乐",2018-03-06
1,Python开发工程师,深圳市迈卡网络科技有限公司,8k-12k,深圳,15-50人,1-3年,大专,O2O,2018-03-06
2,Python服务端开发（模拟器）,广州博冠信息科技有限公司,15k-20k,广州,2000人以上,1-3年,本科,游戏,2018-02-28
3,Python工程师,人和未来生物科技（长沙）有限公司,8k-15k,长沙,150-500人,3-5年,本科,"医疗健康,数据服务",2018-02-24
4,高级Python研发工程师（机器学习业务方向）,北京京东世纪贸易有限公司,18k-30k,北京,2000人以上,不限,本科,电子商务,2018-03-12
5,python后端开发,酷转猫友（武汉）科技有限公司,7K-14K,武汉,50-150人,1-3年,本科,"移动互联网,社交网络",2018-03-06
6,Python 游戏服务端开发,北京微笑科技有限公司,20k-25k,北京,15-50人,1-3年,本科,"移动互联网,游戏",2018-03-13
7,Python高级软件工程师,广州英荔教育科技有限公司,9k-18k,广州,15-50人,1-3年,大专,"企业服务,教育",2018-03-13
8,Python开发工程师,大连允执科技有限公司,5k-8k,大连,15-50人,不限,不限,"移动互联网,信息安全",2018-03-05
9,Python开发工程师,易虎网科技南京有限公司,10k-20k,南京,50-150人,3-5年,本科,企业服务,2018-02-23
10,软件工程师（Python方向）,内蒙古君正互联网小额贷款有限公司,20k-30k,上海,50-150人,3-5年,本科,金融,2018-03-13
11,python开发工程师,深圳库尚信息技术有限公司,8k-16k,深圳,500-2000人,1-3年,大专,电子商务,2018-03-12
12,Python爬虫工程师,阳光保险集团股份有限公司,20k-40k,北京,2000人以上,5-10年,本科,金融,2018-03-12
13,python,武汉飞脉科技有限责任公司,10k-20k,武汉,15-50人,1-3年,大专,"移动互联网,数据服务",2018-03-09
14,Python开发工程师,上海钢富电子商务有限公司,20k-40k,上海,500-2000人,5-10年,本科,电子商务,2018-03-06
0,python 程序员,乾康（上海）金融信息服务有限公司,8k-15k,西安,50-150人,3-5年,本科,"移动互联网,金融",2018-03-06
1,Python工程师,深圳宸睿科技有限公司,9k-16k,深圳,少于15人,3-5年,本科,"电子商务,教育",2018-03-05
2,中级Python开发工程师,北京蓝沧科技有限公司,12k-22k,北京,50-150人,3-5年,本科,企业服务,2018-03-05
3,python开发工程师,杭州虚谷科技有限公司,10k-20k,杭州,少于15人,1-3年,本科,"硬件,移动互联网",2018-02-28
4,Python 工程师,杭州一脉网络科技有限公司,10k-20k,杭州,15-50人,1-3年,大专,移动互联网,2018-02-28
5,Python,瓦戈科技（上海）有限公司,12k-24k,北京,50-150人,3-5年,本科,移动互联网,2018-02-26
6,Python后端开发工程师,广州掌昆网络科技有限公司,10k-15k,广州,15-50人,1-3年,本科,"移动互联网,游戏",2018-03-13
7,后端技术经理（Python web）,北京果壳互动科技传媒有限公司,20k-40k,北京,150-500人,5-10年,本科,"移动互联网,社交网络",2018-03-13
8,Python算法高级工程师,北京知藏云道科技有限公司,22k-30k,上海,15-50人,3-5年,本科,移动互联网,2018-03-12
9,Python开发工程师,北京兆瑞财智科技有限公司,10k-20k,北京,15-50人,1-3年,本科,"移动互联网,企业服务",2018-03-12
10,python开发工程师,深圳微品致远信息科技有限公司,7k-14k,武汉,150-500人,1-3年,大专,"移动互联网,电子商务",2018-03-09
11,Python开发工程师,深圳安讯通达科技有限公司,5k-10k,深圳,15-50人,1-3年,本科,数据服务,2018-03-09
12,Python工程师,深圳市方舟云数信息科技有限公司,20k-40k,深圳,15-50人,1-3年,本科,"移动互联网,游戏",2018-03-05
13,Python大数据工程师,北京源清慧虹信息科技有限公司,12k-24k,北京,50-150人,3-5年,本科,"信息安全,数据服务",2018-03-05
14,Python开发工程师,南京云思创智信息科技有限公司,15k-20k,南京,15-50人,不限,本科,数据服务,2018-03-03
0,python开发工程师,执鼎医疗科技（杭州）有限公司,10k-15k,杭州,50-150人,3-5年,本科,医疗健康,2018-03-01
1,python开发工程师,北京渥瑞达科技发展有限公司,8k-16k,北京,500-2000人,1-3年,本科,"移动互联网,教育",2018-02-27
2,Python开发工程师,广州纷可网络有限公司,10k-15k,广州,15-50人,1年以下,本科,"移动互联网,旅游",2018-02-18
3,Python开发,杭州默安科技有限公司,12k-24k,杭州,50-150人,1-3年,本科,信息安全,2018-02-27
4,软件开发工程师（python）,北京智海创讯信息技术有限公司,10k-20k,北京,15-50人,1-3年,本科,数据服务,2018-02-23
5,Python 后台工程师,恒爱高科（北京）科技有限公司,9k-18k,北京,15-50人,1-3年,本科,"医疗健康,硬件",2018-03-13
6,python开发工程师,星际（杭州）网络技术有限公司,8k-16k,杭州,50-150人,1-3年,本科,移动互联网,2018-03-12
7,python开发工程师,北京富能通科技有限公司,8k-15k,成都,50-150人,不限,不限,"企业服务,数据服务",2018-03-12
8,python工程师,北京嘀嗒时代科技有限公司,10k-15k,北京,少于15人,1-3年,大专,"移动互联网,数据服务",2018-03-02
9,Python开发工程师,上海同济城市规划设计研究院,8k-15k,上海,150-500人,1年以下,硕士,其他,2018-03-02
