,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
14,高级Java开发,珠海随变科技有限公司,20k-30k,北京,50-150人,5-10年,本科,电子商务,2018-03-12
0,java开发工程师,北京京东世纪贸易有限公司,20k-35k,北京,2000人以上,3-5年,本科,电子商务,2018-03-12
1,java,北京三快在线科技有限公司,20k-40k,北京,2000人以上,5-10年,本科,"移动互联网,O2O",2018-03-02
2,Java开发工程师,上海泛微网络科技股份有限公司,10k-15k,上海,2000人以上,1-3年,本科,"移动互联网,企业服务",2018-03-13
3,高级Java,北京爱奇艺科技有限公司,18k-30k,上海,2000人以上,3-5年,本科,"广告营销,文化娱乐",2018-03-13
4,java工程师,金色家园网络科技有限公司,15k-30k,北京,2000人以上,3-5年,本科,O2O,2018-03-13
5,Java开发工程师,招银网络科技（深圳）有限公司,15k-20k,成都,2000人以上,1-3年,本科,金融,2018-03-05
6,JAVA开发工程师,中国平安财产保险股份有限公司,15k-25k,深圳,2000人以上,3-5年,本科,"移动互联网,金融",2018-03-13
7,Java开发工程师,北京车之家信息技术有限公司,15k-25k,北京,2000人以上,3-5年,本科,"移动互联网,文化娱乐",2018-03-13
8,Java开发工程师,北京希为科技有限公司,15k-25k,北京,15-50人,3-5年,本科,"企业服务,金融",2018-03-13
9,java,北京商询科技有限公司,15k-25k,北京,50-150人,3-5年,本科,"企业服务,数据服务",2018-03-13
10,高级Java开发,点我达网络科技有限公司,18k-36k,杭州,500-2000人,3-5年,不限,O2O,2018-03-13
11,JAVA开发工程师,阳光保险集团股份有限公司,10k-20k,北京,2000人以上,1-3年,不限,金融,2018-03-05
12,Java开发工程师,浙江百世技术有限公司,10k-20k,杭州,2000人以上,不限,本科,"移动互联网,O2O",2018-03-01
13,java开发工程师,北京新东方迅程网络科技有限公司,18k-23k,北京,500-2000人,3-5年,本科,"移动互联网,教育",2018-03-13
14,Java开发工程师,杉数科技（北京）有限公司,15k-30k,北京,50-150人,3-5年,本科,"数据服务,移动互联网",2018-03-13
0,java开发工程师,北京京东世纪贸易有限公司,20k-35k,北京,2000人以上,3-5年,本科,电子商务,2018-03-12
1,JAVA开发工程师,北京三快在线科技有限公司,15k-30k,北京,2000人以上,1-3年,本科,"移动互联网,O2O",2018-03-09
2,java,上海泛微网络科技股份有限公司,13k-18k,上海,2000人以上,3-5年,本科,"移动互联网,企业服务",2018-03-13
3,JAVA开发工程师,中国平安财产保险股份有限公司,15k-24k,深圳,2000人以上,3-5年,本科,"移动互联网,金融",2018-03-13
4,Java工程师,金色家园网络科技有限公司,15k-25k,北京,2000人以上,3-5年,本科,O2O,2018-03-13
5,Java开发工程师,深圳达飞金融控股有限公司,18k-35k,深圳,2000人以上,1-3年,本科,"移动互联网,金融",2018-03-13
6,Java开发工程师,浙江阿拉丁电子商务股份有限公司,10k-15k,杭州,150-500人,3-5年,本科,移动互联网,2018-03-13
7,资深java工程师/java技术专家,武汉斗鱼网络科技有限公司,16k-28k,武汉,2000人以上,5-10年,本科,移动互联网,2018-03-12
8,java开发工程师,亿阳信通股份有限公司北京分公司,6k-10k,北京,2000人以上,3-5年,本科,"移动互联网,数据服务",2018-03-13
9,java工程师,北京商询科技有限公司,15k-25k,北京,50-150人,3-5年,本科,"企业服务,数据服务",2018-03-13
10,Java开发工程师,北京芯盾时代科技有限公司,15k-25k,北京,50-150人,3-5年,本科,"移动互联网,信息安全",2018-03-13
11,JAVA工程师,浙江执御信息技术有限公司,12k-20k,上海,2000人以上,3-5年,本科,"移动互联网,数据服务",2018-03-13
12,Java,支付宝(杭州)信息技术有限公司,25k-35k,杭州,2000人以上,3-5年,本科,"金融,移动互联网",2018-03-12
13,Java开发工程师,北京百博时代科技有限公司,15k-25k,北京,50-150人,3-5年,本科,电子商务,2018-03-12
14,Java,北京车之家信息技术有限公司,15k-30k,北京,2000人以上,3-5年,本科,"移动互联网,文化娱乐",2018-03-05
0,Java开发工程师,北京京东世纪贸易有限公司,15k-30k,北京,2000人以上,3-5年,本科,电子商务,2018-03-12
1,java开发,北京三快在线科技有限公司,15k-30k,北京,2000人以上,3-5年,本科,"移动互联网,O2O",2018-03-01
2,Java开发,上海泛微网络科技股份有限公司,12k-16k,上海,2000人以上,1-3年,本科,"移动互联网,企业服务",2018-03-13
3,Java工程师,金色家园网络科技有限公司,15k-25k,北京,2000人以上,3-5年,本科,O2O,2018-03-13
4,Java,北京新东方迅程网络科技有限公司,18k-30k,北京,500-2000人,3-5年,本科,"移动互联网,教育",2018-03-13
5,Java开发工程师,北京转转精神科技有限责任公司,25k-45k,北京,500-2000人,3-5年,本科,"移动互联网,生活服务",2018-03-13
6,JAVA开发工程师,深圳市博悦科创科技有限公司,9k-18k,深圳,500-2000人,3-5年,本科,移动互联网,2018-03-13
7,Java开发工程师,北京至信普林科技有限公司,15k-25k,北京,50-150人,5-10年,本科,数据服务,2018-03-13
8,Java开发工程师,欧派家居集团有限公司,10k-15k,广州,2000人以上,1-3年,本科,"生活服务,硬件",2018-03-13
9,java开发工程师,北京趣拿软件科技有限公司,15k-30k,北京,2000人以上,3-5年,本科,移动互联网,2018-03-09
10,java开发工程师,武汉佰钧成技术有限责任公司,8k-15k,南京,2000人以上,3-5年,大专,移动互联网,2018-03-13
11,java,北京酷云互动科技有限公司,15k-30k,北京,150-500人,5-10年,本科,"数据服务,广告营销",2018-03-12
12,JAVA开发工程师,福州力和致远通信技术有限公司,6k-12k,福州,15-50人,1-3年,本科,"教育,数据服务",2018-03-13
13,java开发工程师,深圳市金证科技股份有限公司,12k-16k,上海,2000人以上,3-5年,本科,金融,2018-03-13
14,JAVA开发工程师,杭州缘佳科技有限公司,25k-40k,杭州,50-150人,3-5年,大专,游戏,2018-03-13
0,java开发工程师,北京京东世纪贸易有限公司,20k-35k,北京,2000人以上,3-5年,本科,电子商务,2018-03-12
1,java研发工程师,北京三快在线科技有限公司,20k-40k,北京,2000人以上,3-5年,硕士,"移动互联网,O2O",2018-03-09
2,java,上海泛微网络科技股份有限公司,12k-17k,上海,2000人以上,1-3年,本科,"移动互联网,企业服务",2018-03-13
